date,title,amount
2026-08-03,99 - NuPay,"8,60"
2026-08-02,99 - NuPay,"10,80"
2026-08-02,99 - NuPay,"15,00"
2026-08-02,99 - NuPay,"24,30"
2026-08-02,99app *99app,"19,70"
2026-08-01,Ifd*Cia Latino America,"57,46"
2026-08-01,Uffa Rede de Lojas de,"5,81"
2026-08-01,99 - NuPay,"10,50"
2026-07-31,Mercadolivre*Mercadol,"78,91"
2026-07-31,Uffa Rede de Lojas de,"5,91"
2026-07-30,99 - NuPay,"14,30"
2026-07-30,Uffa Rede de Lojas de,"4,01"
2026-07-30,99app *99app,"10,90"
2026-07-30,Giacomini Alimentos,"54,00"
2026-07-30,Conveniencia Garcia,"28,72"
2026-07-30,Coprobel,"98,96"
2026-07-30,Ricardocasco,"135,00"
2026-07-30,Stangherlin Supermerca,"215,91"
2026-07-29,99app *99app,"12,08"
2026-07-29,99app *99app,"12,70"
2026-07-29,Uffa Rede de Lojas de,"18,97"
2026-07-28,Uffa Rede de Lojas de,"3,87"
2026-07-27,Uffa Rede de Lojas de,"4,08"
2026-07-26,Uffa Rede de Lojas de,"6,05"
2026-07-26,Google Youtube,"26,90"
2026-07-25,Farmacia Sao Joao,"46,79"
2026-07-25,Uffa Rede de Lojas de,"6,08"
2026-07-24,Stangherlin Supermerca,"61,70"
2026-07-23,Ricardocasco,"135,00"
2026-07-23,Inst Radiologia Sao Lu,"65,00"
2026-07-22,S M Tele Gas,"130,00"
2026-07-21,Mlp*Netshoes-Ns2com In - Parcela 1/6,"70,84"
2026-07-19,99app *99app,"10,88"
2026-07-19,99app *99app,"12,70"
2026-07-16,Unicesumar,"180,83"
2026-07-16,Academia Dojo X - Parcela 1/4,"20,00"
2026-07-16,Academia Dojo X - Parcela 1/3,"100,00"
2026-07-14,Uffa Rede de Lojas de,"6,83"
2026-07-14,Farmacia Sao Joao,"29,90"
2026-07-13,Academia Dojo,"160,00"
2026-07-13,Sergio A Wouters e Cia,"235,00"
2026-07-13,Pagamento recebido,"- 1.498,25"
2026-07-13,Pagamento recebido,"- 600,00"
2026-07-11,Pagamento recebido,"- 596,55"
2026-07-05,99app *99app,"14,10"
2026-07-04,Pg *Photoy - Parcela 10/10,"8,99"
2026-07-04,Localiza - Parcela 3/6,"93,63"
2026-07-04,Servico Educ*Ntstore - Parcela 7/10,"71,90"
2026-07-04,Pg *Photoy - Parcela 10/10,"8,99"
2026-07-04,Localiza - Parcela 2/3,"145,45"
2026-07-04,Htm *Clubekaratex - Parcela 10/10,"12,25"
