date,title,amount
2026-09-02,Uffa Rede de Lojas de,"29,97"
2026-09-02,99app *99app,"12,10"
2026-09-01,99 - NuPay,"12,80"
2026-09-01,Peruzzo,"11,98"
2026-09-01,99app *99app,"10,40"
2026-09-01,99app *99app,"13,50"
2026-09-01,Uffa Rede de Lojas de,"15,96"
2026-09-01,99app *99app,"9,12"
2026-09-01,Peruzzo,"108,05"
2026-09-01,Paulo Sergio Preza Fig,"61,95"
2026-09-01,Paulo Sergio Preza Fig - Parcela 1/6,"47,84"
2026-08-31,Uffa Rede de Lojas de,"75,21"
2026-08-31,99 - NuPay,"9,77"
2026-08-30,99 - NuPay,"10,40"
2026-08-30,99 - NuPay,"8,60"
2026-08-30,99 - NuPay,"8,60"
2026-08-30,Uffa Rede de Lojas de,"30,48"
2026-08-30,99app *99app,"11,70"
2026-08-30,Uffa Rede de Lojas de,"29,70"
2026-08-30,99app *99app,"11,10"
2026-08-29,99 - NuPay,"10,60"
2026-08-26,Dl*Google Youtub,"26,90"
2026-08-23,Mlp *Netshoes-Nike,"294,98"
2026-08-17,Espaco Beer,"23,60"
2026-08-16,Superlegal Comercio de,"74,99"
2026-08-15,Uffa Rede de Lojas de,"13,64"
2026-08-14,Supermercados,"165,32"
2026-08-14,Pao Quente,"8,94"
2026-08-14,Uffa Rede de Lojas de,"5,98"
2026-08-13,Sta Lucia Combustiveis,"200,00"
2026-08-13,Uffa Rede de Lojas de,"6,08"
2026-08-13,Farmacia Sao Joao,"29,60"
2026-08-12,Academia Dojo,"160,00"
2026-08-12,Unicesumar,"264,00"
2026-08-11,Pagamento recebido,"- 2.510,30"
2026-08-04,Mlp*Netshoes-Ns2com In - Parcela 2/6,"70,83"
2026-08-04,Localiza - Parcela 4/6,"93,63"
2026-08-04,Academia Dojo X - Parcela 2/4,"20,00"
2026-08-04,Localiza - Parcela 3/3,"145,45"
2026-08-04,Servico Educ*Ntstore - Parcela 8/10,"71,90"
2026-08-04,Academia Dojo X - Parcela 2/3,"100,00"
