date,title,amount
2026-07-03,99app *99app,"14,09"
2026-07-03,99app *99app,"13,50"
2026-06-26,99app *99app,"15,00"
2026-06-26,99app *99app,"11,70"
2026-06-26,99app *99app,"11,50"
2026-06-26,99app *99app,"10,40"
2026-06-24,99app *99app,"14,24"
2026-06-20,99app *99app,"10,50"
2026-06-18,Dl*99 Ride,"14,76"
2026-06-18,99app *99app,"10,40"
2026-06-18,99app *99app,"11,10"
2026-06-18,Shein *Confeccoes Yel,"287,12"
2026-06-17,Dl*99 Ride,"11,43"
2026-06-17,Dl*99 Ride,"12,42"
2026-06-17,Dl*99 Ride,"10,71"
2026-06-17,Unicesumar,"35,00"
2026-06-17,Mercadolivre*Ltimport,"53,57"
2026-06-17,Stangherlin Supermerca,"81,81"
2026-06-16,Dl*99 Ride,"12,96"
2026-06-15,Dl*99 Ride,"12,42"
2026-06-15,Mercadolivre*Plumas,"32,00"
2026-06-15,Dl*99 Ride,"9,27"
2026-06-14,Dl*99 Ride,"12,42"
2026-06-14,99app *99app,"12,00"
2026-06-14,Lanchonautas,"108,20"
2026-06-14,Dl*99 Ride,"13,05"
2026-06-14,Pg *99 Ride,"25,00"
2026-06-14,Dl*99 Ride,"11,52"
2026-06-14,Panvel Filial,"123,64"
2026-06-13,Stangherlin Supermerca,"112,07"
2026-06-13,Dl*99 Ride,"21,91"
2026-06-13,Dl*99 Ride,"14,94"
2026-06-13,Mercadolivre*Zurbycuec,"19,30"
2026-06-12,Mercadolivre*Mercadoli,"19,77"
2026-06-12,Dl*99 Ride,"11,52"
2026-06-12,Dl*99 Ride,"10,62"
2026-06-12,Dl*99 Ride,"24,60"
2026-06-12,Farmacia Sao Joao,"37,80"
2026-06-11,Dl*99 Ride,"11,40"
2026-06-11,Netflix Entretenimento,"59,90"
2026-06-11,Osmar Nicolini Comerc,"15,23"
2026-06-11,Dl*99 Ride,"7,99"
2026-06-11,Uffa Rede de Lojas de,"8,90"
2026-06-11,99app *99app,"12,10"
2026-06-11,Adrianocesardossa,"10,00"
2026-06-11,Osmar Nicolini Comerc,"72,03"
2026-06-11,Dl*99 Ride,"7,99"
2026-06-11,Mercadolivre*Mercadol,"169,15"
2026-06-11,Dl*99 Ride,"12,52"
2026-06-11,Dl*99 Ride,"13,32"
2026-06-10,Unicesumar,"264,00"
2026-06-10,Dl*99 Ride,"13,30"
2026-06-10,Dl*99 Ride,"19,89"
2026-06-10,99app *99app,"10,40"
2026-06-10,Academia Dojo,"160,00"
2026-06-10,Pagamento recebido,"- 1.527,20"
2026-06-10,99app *99app,"16,80"
2026-06-10,99app *99app,"11,20"
2026-06-09,Pagamento recebido,"- 600,00"
2026-06-07,Localiza - Parcela 1/3,"145,47"
2026-06-06,Pagamento recebido,"- 500,00"
2026-06-04,Pg *Photoy - Parcela 9/10,"8,99"
2026-06-04,Localiza - Parcela 2/6,"93,63"
2026-06-04,Servico Educ*Ntstore - Parcela 9/9,"139,88"
2026-06-04,Britto e Rosa - Parcela 6/6,"43,31"
2026-06-04,Pg *Photoy - Parcela 9/10,"8,99"
2026-06-04,Htm *Clubekaratex - Parcela 9/10,"12,25"
2026-06-04,Servico Educ*Ntstore - Parcela 6/10,"71,90"
